dataset,record,base_record,snr_db,eval_scope,target_fs_hz,bits,lsb_uv,raw_bitrate_bps,storage_mib_per_day,tolerance_ms,reference_beats,detected_beats,tp,fp,fn,sensitivity_pct,ppv_pct,f1_pct,median_abs_timing_error_ms,p95_abs_timing_error_ms,clipping_rate_pct,quantization_rmse_uv,quantization_snr_db,evaluated_duration_s
mitdb,101,101,,clean_after_5min,100,7,78.12500000,700,7.20977783,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,57.22222222,61.66666667,0.00000000,22.47465570,20.10401010,1505.15555556
mitdb,101,101,,clean_after_5min,100,8,39.06250000,800,8.23974609,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.66666667,61.66666667,0.00000000,11.47172203,25.94529875,1505.15555556
mitdb,101,101,,clean_after_5min,100,9,19.53125000,900,9.26971436,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.66666667,61.66666667,0.00000000,5.64345029,32.10697698,1505.15555556
mitdb,101,101,,clean_after_5min,100,10,9.76562500,1000,10.29968262,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,57.22222222,61.66666667,0.00000000,2.81811761,38.13868878,1505.15555556
mitdb,101,101,,clean_after_5min,100,11,4.88281250,1100,11.32965088,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.94444444,61.66666667,0.00000000,1.41143255,44.14466847,1505.15555556
mitdb,101,101,,clean_after_5min,125,6,156.25000000,750,7.72476196,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.44444444,6.22222222,0.00000000,49.20022739,13.29869417,1505.15555556
mitdb,101,101,,clean_after_5min,125,7,78.12500000,875,9.01222229,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.33333333,5.88888889,0.00000000,22.46829751,20.10663305,1505.15555556
mitdb,101,101,,clean_after_5min,125,8,39.06250000,1000,10.29968262,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.33333333,5.88888889,0.00000000,11.47374666,25.94393124,1505.15555556
mitdb,101,101,,clean_after_5min,125,9,19.53125000,1125,11.58714294,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.33333333,5.77777778,0.00000000,5.64990035,32.09722061,1505.15555556
mitdb,101,101,,clean_after_5min,125,10,9.76562500,1250,12.87460327,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.33333333,5.77777778,0.00000000,2.82004463,38.13291673,1505.15555556
mitdb,101,101,,clean_after_5min,125,11,4.88281250,1375,14.16206360,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,2.33333333,5.77777778,0.00000000,1.40996696,44.15385762,1505.15555556
mitdb,101,101,,clean_after_5min,180,6,156.25000000,1080,11.12365723,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,5.55555556,0.00000000,49.21561411,13.29427825,1505.15555556
mitdb,101,101,,clean_after_5min,180,7,78.12500000,1260,12.97760010,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,2.77777778,0.00000000,22.48226584,20.09953485,1505.15555556
mitdb,101,101,,clean_after_5min,180,8,39.06250000,1440,14.83154297,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,2.77777778,0.00000000,11.47817435,25.93888008,1505.15555556
mitdb,101,101,,clean_after_5min,180,9,19.53125000,1620,16.68548584,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,2.77777778,0.00000000,5.64271675,32.10657142,1505.15555556
mitdb,101,101,,clean_after_5min,180,10,9.76562500,1800,18.53942871,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,2.77777778,0.00000000,2.81964687,38.13244201,1505.15555556
mitdb,101,101,,clean_after_5min,180,11,4.88281250,1980,20.39337158,75,1523,1525,1522,3,1,99.93434012,99.80327869,99.86876640,2.77777778,2.77777778,0.00000000,1.41005230,44.15163198,1505.15555556
mitdb,101,101,,clean_after_5min,250,6,156.25000000,1500,15.44952393,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.22222222,3.11111111,0.00000000,49.21299414,13.29566503,1505.15555556
mitdb,101,101,,clean_after_5min,250,7,78.12500000,1750,18.02444458,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.11111111,3.00000000,0.00000000,22.48423161,20.09969979,1505.15555556
mitdb,101,101,,clean_after_5min,250,8,39.06250000,2000,20.59936523,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.11111111,3.00000000,0.00000000,11.47261985,25.94400873,1505.15555556
mitdb,101,101,,clean_after_5min,250,9,19.53125000,2250,23.17428589,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.11111111,3.00000000,0.00000000,5.64938765,32.09723327,1505.15555556
mitdb,101,101,,clean_after_5min,250,10,9.76562500,2500,25.74920654,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.11111111,3.00000000,0.00000000,2.81810409,38.13812018,1505.15555556
mitdb,101,101,,clean_after_5min,250,11,4.88281250,2750,28.32412720,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,1.11111111,3.00000000,0.00000000,1.41022828,44.15147238,1505.15555556
mitdb,101,101,,clean_after_5min,360,6,156.25000000,2160,22.24731445,75,1523,1525,1521,4,2,99.86868024,99.73770492,99.80314961,0.00000000,2.77777778,0.00000000,49.21746594,13.28922839,1505.15555556
